Displacement (cm),Force (N),Train Force
22,3,2.842
23,3.7,3.542
24,4.4,4.242
25,5.1,4.942
26,5.7,5.642
27,6.4,6.342
28,7.2,7.042
29,7.9,7.742
30,8.5,8.442
31,9,9.142
32,9.6,9.842
33,10.5,10.542
34,11.3,11.242
35,11.8,11.942
36,12.5,12.642
37,13.3,13.342
38,14.1,14.042
39,15,14.742
40,15.4,15.442
22,2.7,
23,3.4,
24,4.1,
25,4.9,
26,5.5,
27,6.2,
28,7,
29,7.6,
30,8.4,
31,9.1,
32,9.8,
33,10.5,
34,11.1,
35,11.9,
36,12.5,
37,13.2,
38,14,
39,14.7,
40,15.4,
22,2.8,
23,3.4,
24,4.2,
25,4.8,
26,5.5,
27,6.2,
28,6.9,
29,7.6,
30,8.3,
31,9,
32,9.8,
33,10.4,
34,11.1,
35,11.8,
36,12.6,
37,13.2,
38,14,
39,14.6,
40,15.4,
